"ip","uids"
"101.87.51.178","1040421340055, 1040421340089, 1063490840085, 1063490840089, 1063526340085, 1063526340089"
"103.63.154.212","1011054440033, 1029427040046, 1037338940090"
"106.114.247.143","1065550140090, 1068197540096, 1070426140104"
"110.255.162.34","1006834840012, 1013105740018, 1014241440021, 1043955540059, 1043955540075, 1055613440075, 1063591540086"
"110.72.19.48","1003386140006, 1003427340006, 1003529940006, 1003641640006, 1003641840006"
"110.72.3.192","1003386140081, 1003427340081, 1003498640081, 1003499140081, 1003499640081, 1003529440081, 1003529940081, 1003641640081, 1003641840081, 1003647340006, 1003647340081, 1003753140006, 1003753140081, 1003759340006, 1003759340081"
"110.72.38.206","1003498640006, 1003499140006, 1003499640006"
"111.162.180.49","1058126240077, 1069651040102, 1069652040102"
"111.182.49.74","1019786140084, 1019786140100, 1019948340084, 1019948340100, 1034436840084, 1034436840100, 1034439740084, 1034439740100, 1034441640084, 1034441640100, 1034445640084, 1034445640100, 1034447940084, 1034447940100, 1034449340084, 1034449340100, 1034450440084, 1034450440100"
"111.196.45.23","1059600440082, 1062028040089, 1067559740093, 1067582440093"
"111.27.32.74","1012712340038, 1014131840020, 1027984840038"
"111.32.64.242","1011325740016, 1011327940016, 1011337440016, 1011341940016, 1011343040016"
"111.55.205.13","1032963340048, 1032969340048, 1033176740048"
"112.224.190.210","1052438140075, 1052452440075, 1052458940075, 1052465740075"
"112.251.77.202","1050980540067, 1063012940082, 1066761440090, 1068857540099"
"112.38.106.170","1005931740010, 1027747240039, 1066853640092"
"112.40.58.162","1024723640034, 1024742040034, 1025180640034"
"112.47.224.175","1029618640045, 1029682940044, 1029742440045"
"112.52.23.38","1067258540093, 1067269540093, 1067277240093, 1067367740093"
"113.119.75.173","1002309840005, 1002309840007, 1002533540005, 1002533540007, 1004077140007, 1004077340007, 1004077440007, 1004077640007"
"113.6.151.106","1004143640015, 1004600340009, 1004600340015, 1009368740015"
"113.84.9.178","1059842740078, 1066125640091, 1066978540091, 1067001240091"
"114.86.122.196","1003790040008, 1004148140008, 1004148240008, 1004148340008, 1004148540008"
"114.92.190.63","1017514740025, 1065402840090, 1066497640090"
"116.1.73.143","1002837640002, 1002838240002, 1002838440002"
"117.133.68.177","1028599440056, 1053531240075, 1055965340075"
"117.179.21.107","1011325740016, 1011325740029, 1011326940016, 1011327940016, 1011327940029, 1011337440016, 1011337440029, 1011341940016, 1011341940029, 1011343040016, 1011343040029"
"117.183.125.4","1003620540079, 1003638840079, 1011203140079, 1056037540079, 1056039840079, 1056043940079"
"117.62.97.215","1069335240106, 1069335240113, 1070789640113, 1071561240113, 1071796540113, 1071802740113"
"118.242.18.133","1002150440001, 1002150440003, 1002150440005, 1002150440014, 1002150540990, 1002150740001, 1002150840001, 1002151140001, 1002539540002, 1002539540003, 1002827540006, 1003103340004, 1003373440990"
"118.249.100.31","1002636840051, 1002636840097, 1028638040051, 1028723040051, 1028723140051, 1028723240051, 1028723640040, 1028723640051, 1028723940051, 1028751040051, 1028751140051, 1028751340051, 1028751640040, 1028751640051, 1028751740051, 1028751940051"
"118.250.36.234","1024628340033, 1028297140041, 1028916840045, 1028916840055, 1028916840092, 1028916840096, 1028916840114, 1036146040056"
"119.130.214.4","1016919140029, 1020700440029, 1020702040029, 1020702540029"
"120.204.128.155","1004121540008, 1004121540012, 1004121640008, 1004121640012, 1004121740008, 1004121740012"
