id,uid,sid,jobtype,lv_type,before_lv,after_lv,time_stamp
107851,1001357520001,20001,2,1,53,54,2025-06-12 21:27:06
86595,1001364920001,20001,5,1,74,75,2025-06-12 17:12:46
73495,1001365320001,20001,1,1,74,75,2025-06-12 15:08:07
73496,1001365320001,20001,3,1,67,68,2025-06-12 15:08:07
109530,1001365720001,20001,2,1,24,25,2025-06-12 22:44:52
68593,1001366120001,20001,3,1,5,6,2025-06-12 11:10:34
65376,1001366220001,20001,1,1,58,62,2025-06-12 10:22:37
65569,1001367020001,20001,1,1,100,101,2025-06-12 21:41:55
65570,1001367020001,20001,5,1,92,93,2025-06-12 21:41:55
65522,1001367120001,20001,5,1,100,101,2025-06-12 21:22:33
105389,1001367520001,20001,3,1,74,75,2025-06-12 20:08:06
65573,1001367620001,20001,1,1,83,84,2025-06-12 21:45:08
65493,1001367720001,20001,3,1,76,78,2025-06-12 21:03:35
65494,1001367720001,20001,1,1,74,76,2025-06-12 21:03:35
65495,1001367720001,20001,2,1,35,56,2025-06-12 21:03:35
104846,1001367820001,20001,1,1,74,75,2025-06-12 19:53:38
109745,1001368020001,20001,2,1,70,75,2025-06-12 22:56:02
106646,1001368120001,20001,4,1,45,46,2025-06-12 20:43:08
97582,1001368220001,20001,4,1,70,71,2025-06-12 18:13:11
101088,1001368420001,20001,1,1,44,45,2025-06-12 18:48:50
69589,1001368520001,20001,1,1,30,31,2025-06-12 11:42:27
81940,1001369020001,20001,3,1,74,75,2025-06-12 16:41:19
69840,1001369120001,20001,1,1,33,34,2025-06-12 11:54:33
80253,1001373620001,20001,1,1,53,54,2025-06-12 16:27:25
67248,1001373720001,20001,1,1,20,21,2025-06-12 10:31:57
85297,1001373820001,20001,5,1,68,69,2025-06-12 17:05:13
84760,1001373920001,20001,2,1,63,64,2025-06-12 17:01:47
78590,1001374020001,20001,5,1,72,73,2025-06-12 16:13:01
100011,1001374220001,20001,1,1,73,74,2025-06-12 18:36:24
109766,1001374320001,20001,3,1,72,73,2025-06-12 22:56:41
108875,1001374420001,20001,2,1,71,75,2025-06-12 22:14:05
67316,1001374520001,20001,2,1,17,18,2025-06-12 10:35:29
80844,1001374620001,20001,2,1,55,56,2025-06-12 16:32:22
71287,1001374920001,20001,5,1,51,52,2025-06-12 13:19:48
107872,1001375120001,20001,5,1,36,37,2025-06-12 21:27:56
78844,1001375220001,20001,1,1,67,68,2025-06-12 16:15:07
67337,1001375320001,20001,1,1,2,3,2025-06-12 10:36:48
67340,1001375520001,20001,1,1,2,3,2025-06-12 10:37:15
67358,1001375620001,20001,5,1,2,3,2025-06-12 10:38:16
79565,1001375720001,20001,2,1,18,19,2025-06-12 16:20:48
67452,1001375920001,20001,5,1,13,14,2025-06-12 10:41:10
67388,1001376020001,20001,5,1,4,5,2025-06-12 10:39:09
67395,1001376220001,20001,1,1,4,5,2025-06-12 10:39:24
67351,1001376320001,20001,1,1,1,2,2025-06-12 10:38:02
67398,1001376420001,20001,4,1,3,4,2025-06-12 10:39:25
67658,1001376520001,20001,2,1,16,17,2025-06-12 10:46:26
67517,1001376720001,20001,2,1,3,4,2025-06-12 10:42:34
67538,1001376820001,20001,3,1,4,5,2025-06-12 10:43:21
107913,1001377020001,20001,3,1,64,65,2025-06-12 21:29:53
76274,1001377120001,20001,3,1,20,21,2025-06-12 15:51:14
67577,1001377220001,20001,1,1,3,4,2025-06-12 10:44:04
67642,1001377320001,20001,2,1,15,16,2025-06-12 10:45:59
67708,1001377520001,20001,3,1,17,18,2025-06-12 10:47:47
67415,1001377720001,20001,1,1,1,2,2025-06-12 10:39:58
67442,1001377820001,20001,3,1,2,3,2025-06-12 10:40:48
67423,1001377920001,20001,1,1,1,2,2025-06-12 10:40:04
68127,1001378020001,20001,4,1,14,15,2025-06-12 10:58:12
67475,1001378320001,20001,5,1,2,3,2025-06-12 10:41:35
70444,1001378920001,20001,5,1,43,44,2025-06-12 12:23:11
67599,1001379120001,20001,3,1,9,10,2025-06-12 10:44:40
67525,1001379220001,20001,2,1,3,4,2025-06-12 10:42:50
67794,1001379320001,20001,1,1,5,6,2025-06-12 10:49:23
67487,1001379420001,20001,1,1,2,3,2025-06-12 10:41:59
68442,1001379520001,20001,2,1,21,22,2025-06-12 11:06:58
67536,1001379720001,20001,1,1,3,4,2025-06-12 10:43:18
68136,1001379820001,20001,1,1,5,6,2025-06-12 10:58:19
67533,1001379920001,20001,3,1,2,3,2025-06-12 10:43:15
91441,1001380220001,20001,1,1,52,53,2025-06-12 17:38:18
68223,1001380320001,20001,2,1,14,15,2025-06-12 11:00:40
109641,1001380420001,20001,1,1,64,65,2025-06-12 22:51:17
68043,1001380820001,20001,5,1,27,28,2025-06-12 10:55:56
70641,1001381420001,20001,1,1,9,10,2025-06-12 12:33:21
67828,1001381520001,20001,3,1,14,15,2025-06-12 10:50:09
67596,1001381620001,20001,3,1,3,4,2025-06-12 10:44:36
68763,1001381820001,20001,3,1,46,47,2025-06-12 11:15:31
67696,1001382120001,20001,1,1,4,5,2025-06-12 10:47:24
67615,1001382420001,20001,1,1,3,4,2025-06-12 10:45:12
