等级(after_lv),人数,占总人数百分比
2,119,6.24%
3,187,9.80%
4,197,10.32%
5,137,7.18%
6,62,3.25%
7,43,2.25%
8,50,2.62%
9,51,2.67%
10,43,2.25%
11,34,1.78%
12,19,1.00%
13,14,0.73%
14,26,1.36%
15,43,2.25%
16,67,3.51%
17,31,1.62%
18,25,1.31%
19,32,1.68%
20,64,3.35%
21,19,1.00%
22,12,0.63%
23,19,1.00%
24,33,1.73%
25,39,2.04%
26,21,1.10%
27,21,1.10%
28,32,1.68%
29,27,1.42%
30,9,0.47%
31,16,0.84%
32,11,0.58%
33,6,0.31%
34,11,0.58%
35,10,0.52%
36,2,0.10%
37,1,0.05%
38,1,0.05%
39,3,0.16%
41,2,0.10%
42,4,0.21%
43,7,0.37%
44,8,0.42%
45,10,0.52%
46,12,0.63%
47,12,0.63%
48,47,2.46%
49,45,2.36%
50,38,1.99%
51,30,1.57%
52,16,0.84%
53,6,0.31%
54,7,0.37%
55,2,0.10%
56,8,0.42%
57,2,0.10%
58,3,0.16%
59,5,0.26%
60,2,0.10%
61,4,0.21%
62,2,0.10%
63,8,0.42%
64,7,0.37%
65,9,0.47%
66,9,0.47%
67,16,0.84%
68,6,0.31%
69,9,0.47%
70,5,0.26%
71,5,0.26%
72,3,0.16%
73,10,0.52%
74,5,0.26%
75,7,0.37%
